Date,temp_airport
2013-10-22,27.6
2013-10-23,33.7
2013-10-24,23.7
2013-10-25,25.1
2013-10-26,22.1
2013-10-27,23.1
2013-10-28,23.3
2013-10-29,24.3
2013-10-30,20.9
2013-10-31,24.1
2013-11-01,23.2
2013-11-02,30.8
2013-11-03,34.9
2013-11-04,18.4
2013-11-05,19.9
2013-11-06,23.7
2013-11-07,30.3
2013-11-08,34
2013-11-09,31.8
2013-11-10,20
2013-11-11,18.8
2013-11-12,22.4
2013-11-13,29.7
2013-11-14,28.6
2013-11-15,23
2013-11-16,21.2
2013-11-17,18.6
2013-11-18,19.6
2013-11-19,24.1
2013-11-20,26.7
2013-11-21,27.1
2013-11-22,25.9
2013-11-23,24.9
2013-11-24,23.1
2013-11-25,22
2013-11-26,21.1
2013-11-27,24.1
2013-11-28,29.3
2013-11-29,20.7
2013-11-30,21.6
2013-12-01,23.2
2013-12-02,25.6
2013-12-03,26.4
2013-12-04,29.1
2013-12-05,27.5
2013-12-06,21.8
2013-12-07,25.6
2013-12-08,27.6
2013-12-09,32
2013-12-10,34.4
2013-12-11,29.4
2013-12-12,27
2013-12-13,28.9
2013-12-14,24.9
2013-12-15,24.3
2013-12-16,25.1
2013-12-17,27.7
2013-12-18,26.3
2013-12-19,27.8
2013-12-20,37.8
2013-12-21,26.3
2013-12-22,31.2
2013-12-23,36.6
2013-12-24,21.5
2013-12-25,21.5
2013-12-26,25
2013-12-27,25.8
2013-12-28,27.6
2013-12-29,22.9
2013-12-30,25.6
2013-12-31,30.2
2014-01-01,28.1
2014-01-02,36.8
2014-01-03,28.3
2014-01-04,26.3
2014-01-05,29
2014-01-06,30.6
2014-01-07,22.4
2014-01-08,22.5
2014-01-09,24
2014-01-10,27.8
2014-01-11,31.9
2014-01-12,27.9
2014-01-13,26.1
2014-01-14,29.7
2014-01-15,31.3
2014-01-16,30.8
2014-01-17,30.8
2014-01-18,31.8
2014-01-19,25.5
2014-01-20,26.2
2014-01-21,25.4
2014-01-22,23.5
2014-01-23,26
2014-01-24,28.4
2014-01-25,22.9
2014-01-26,22.8
2014-01-27,27.3
2014-01-28,28.7
2014-01-29,30.9
2014-01-30,30.4
2014-01-31,30.5
2014-02-01,27.8
2014-02-02,29.7
2014-02-03,30.1
2014-02-04,25.4
2014-02-05,23.6
2014-02-06,24.3
2014-02-07,27.7
2014-02-08,29.8
2014-02-09,30.7
2014-02-10,23.5
2014-02-11,26
2014-02-12,28
2014-02-13,29.8
2014-02-14,25.7
2014-02-15,27.1
2014-02-16,24.4
2014-02-17,25.3
2014-02-18,25.1
2014-02-19,29.3
2014-02-20,27.8
2014-02-21,25.5
2014-02-22,24.3
2014-02-23,24.4
2014-02-24,27
2014-02-25,28.9
2014-02-26,34.9
2014-02-27,21.8
2014-02-28,21.9
2014-03-01,23.8
2014-03-02,23.8
2014-03-03,24.9
2014-03-04,26.3
2014-03-05,30.7
2014-03-06,24.3
2014-03-07,28.1
2014-03-08,28.6
2014-03-09,28.2
2014-03-10,29.5
2014-03-11,28.7
2014-03-12,28.6
2014-03-13,24.7
2014-03-14,28.6
2014-03-15,28.3
2014-03-16,29.3
2014-03-17,28
2014-03-18,30.8
2014-03-19,25.5
2014-03-20,27.3
2014-03-21,28.2
2014-03-22,30
2014-03-23,29.1
2014-03-24,22.6
2014-03-25,25.4
2014-03-26,25.6
2014-03-27,23.3
2014-03-28,25.4
2014-03-29,23.5
2014-03-30,25.1
2014-03-31,24.9
2014-04-01,28.5
2014-04-02,28.1
2014-04-03,28.9
2014-04-04,21.5
2014-04-05,23.3
2014-04-06,21.3
2014-04-07,22
2014-04-08,23.4
2014-04-09,24.7
2014-04-10,24
2014-04-11,27.1
2014-04-12,21.1
2014-04-13,20.7
2014-04-14,19.1
2014-04-15,20.7
2014-04-16,20.8
2014-04-17,21.1
2014-04-18,26.6
2014-04-19,19.6
2014-04-20,24
