date,rain_mm
2013/4/21,7.4
2013/4/22,0.4
2013/4/23,0
2013/4/24,0
2013/4/25,0
2013/4/26,0
2013/4/27,0
2013/4/28,0
2013/4/29,0
2013/4/30,0
2013/5/1,0
2013/5/2,0.1
2013/5/3,0.4
2013/5/4,0
2013/5/5,0
2013/5/6,0
2013/5/7,0
2013/5/8,4.4
2013/5/9,0
2013/5/10,0
2013/5/11,0
2013/5/12,0
2013/5/13,0.6
2013/5/14,0.4
2013/5/15,0
2013/5/16,0
2013/5/17,0
2013/5/18,0
2013/5/19,0
2013/5/20,0
2013/5/21,0
2013/5/22,0
2013/5/23,32
2013/5/24,15.8
2013/5/25,11.4
2013/5/26,0
2013/5/27,3
2013/5/28,12.8
2013/5/29,1
2013/5/30,0
2013/5/31,0
2013/6/1,0
2013/6/2,18
2013/6/3,31.6
2013/6/4,0
2013/6/5,0
2013/6/6,0
2013/6/7,0
2013/6/8,1.4
2013/6/9,0
2013/6/10,0
2013/6/11,1
2013/6/12,0
2013/6/13,9.6
2013/6/14,0.2
2013/6/15,0.8
2013/6/16,0
2013/6/17,0
2013/6/18,0
2013/6/19,25.2
2013/6/20,5
2013/6/21,1.6
2013/6/22,9
2013/6/23,61
2013/6/24,55.6
2013/6/25,11
2013/6/26,18.4
2013/6/27,0.4
2013/6/28,9.6
2013/6/29,29.6
2013/6/30,60.8
2013/7/1,16.4
2013/7/2,0
2013/7/3,0
2013/7/4,0
2013/7/5,0
2013/7/6,0
2013/7/7,0
2013/7/8,0
2013/7/9,1.2
2013/7/10,18.2
2013/7/11,1
2013/7/12,0
2013/7/13,0
2013/7/14,0
2013/7/15,0.4
2013/7/16,1.2
2013/7/17,2.6
2013/7/18,0
2013/7/19,0
2013/7/20,1
2013/7/21,0.1
2013/7/22,0
2013/7/23,0
2013/7/24,0
2013/7/25,0
2013/7/26,0
2013/7/27,0
2013/7/28,0
2013/7/29,0
2013/7/30,0
2013/7/31,17.4
2013/8/1,0.8
2013/8/2,0
2013/8/3,0
2013/8/4,0
2013/8/5,0
2013/8/6,0
2013/8/7,1.4
2013/8/8,10.4
2013/8/9,5.2
2013/8/10,0
2013/8/11,0
2013/8/12,0
2013/8/13,0
2013/8/14,0
2013/8/15,0
2013/8/16,0
2013/8/17,0
2013/8/18,0
2013/8/19,0
2013/8/20,0
2013/8/21,0
2013/8/22,0
2013/8/23,0
2013/8/24,0
2013/8/25,0
2013/8/26,0
2013/8/27,0
2013/8/28,0
2013/8/29,0
2013/8/30,0
2013/8/31,0
2013/9/1,0
2013/9/2,0
2013/9/3,0
2013/9/4,0
2013/9/5,0
2013/9/6,0
2013/9/7,0
2013/9/8,0
2013/9/9,0.4
2013/9/10,0
2013/9/11,0
2013/9/12,0
2013/9/13,0
2013/9/14,6.6
2013/9/15,1.2
2013/9/16,1.8
2013/9/17,88.2
2013/9/18,0.2
2013/9/19,0
2013/9/20,0
2013/9/21,0
2013/9/22,0
2013/9/23,0
2013/9/24,0
2013/9/25,0
2013/9/26,0
2013/9/27,0
2013/9/28,0
2013/9/29,0
2013/9/30,0
2013/10/1,0
2013/10/2,0
2013/10/3,0
2013/10/4,3
2013/10/5,0
2013/10/6,0
2013/10/7,0
2013/10/8,0
2013/10/9,0
2013/10/10,0
2013/10/11,0
2013/10/12,0
2013/10/13,0
2013/10/14,4.6
2013/10/15,0
2013/10/16,0
2013/10/17,0
2013/10/18,0
2013/10/19,0
2013/10/20,0
2013/10/21,0
2013/10/22,0
2013/10/23,4
2013/10/24,0
2013/10/25,0
2013/10/26,0
2013/10/27,0
2013/10/28,33.8
2013/10/29,0
2013/10/30,0.2
2013/10/31,0
2013/11/1,0
2013/11/2,0
2013/11/3,0
2013/11/4,0
2013/11/5,0
2013/11/6,0
2013/11/7,0
2013/11/8,0
2013/11/9,0.8
2013/11/10,4
2013/11/11,41.6
2013/11/12,8
2013/11/13,8.8
2013/11/14,0
2013/11/15,0
2013/11/16,59
2013/11/17,24
2013/11/18,8.8
2013/11/19,20
2013/11/20,0
2013/11/21,0
2013/11/22,3.4
2013/11/23,24.2
2013/11/24,1.4
2013/11/25,0
2013/11/26,1.2
2013/11/27,0
2013/11/28,NA
2013/11/29,NA
2013/11/30,4
2013/12/1,NA
2013/12/2,0.3
2013/12/3,0
2013/12/4,0
2013/12/5,3.6
2013/12/6,0
2013/12/7,0
2013/12/8,0
2013/12/9,0
2013/12/10,0
2013/12/11,0
2013/12/12,0
2013/12/13,0
2013/12/14,0
2013/12/15,46.4
2013/12/16,2.4
2013/12/17,0
2013/12/18,0
2013/12/19,0
2013/12/20,0
2013/12/21,0
2013/12/22,0.1
2013/12/23,0
2013/12/24,0
2013/12/25,1
2013/12/26,21.8
2013/12/27,1.8
2013/12/28,0
2013/12/29,0
2013/12/30,0
2013/12/31,0
2014/1/1,0
2014/1/2,0.2
2014/1/3,0.6
2014/1/4,0
2014/1/5,0
2014/1/6,0
2014/1/7,1.2
2014/1/8,2.8
2014/1/9,0.1
2014/1/10,5.2
2014/1/11,0
2014/1/12,0
2014/1/13,0
2014/1/14,0
2014/1/15,0
2014/1/16,0
2014/1/17,0
2014/1/18,0
2014/1/19,0
2014/1/20,0.4
2014/1/21,7.6
2014/1/22,5.4
2014/1/23,0.2
2014/1/24,0
2014/1/25,3.2
2014/1/26,1
2014/1/27,0.2
2014/1/28,0
2014/1/29,0
2014/1/30,0
2014/1/31,0
2014/2/1,0
2014/2/2,0
2014/2/3,0
2014/2/4,0
2014/2/5,2.4
2014/2/6,1
2014/2/7,0
2014/2/8,0
2014/2/9,0
2014/2/10,0
2014/2/11,0.2
2014/2/12,0.6
2014/2/13,2.4
2014/2/14,0.1
2014/2/15,1.6
2014/2/16,5.2
2014/2/17,26.4
2014/2/18,0.1
2014/2/19,0
2014/2/20,17
2014/2/21,0
2014/2/22,0.6
2014/2/23,0
2014/2/24,0
2014/2/25,0
2014/2/26,0
2014/2/27,5.4
2014/2/28,4
2014/3/1,9.4
2014/3/2,8.2
2014/3/3,8.6
2014/3/4,5.6
2014/3/5,0.1
2014/3/6,16.4
2014/3/7,0
2014/3/8,0
2014/3/9,0.8
2014/3/10,0
2014/3/11,0
2014/3/12,0
2014/3/13,17
2014/3/14,0.1
2014/3/15,0
2014/3/16,4.6
2014/3/17,4.6
2014/3/18,0
2014/3/19,0
2014/3/20,0
2014/3/21,0.2
2014/3/22,0
2014/3/23,0
2014/3/24,3.2
2014/3/25,27.2
2014/3/26,0.6
2014/3/27,29
2014/3/28,7.8
2014/3/29,0.8
2014/3/30,0
2014/3/31,3.4
2014/4/1,0
2014/4/2,0
2014/4/3,0
2014/4/4,0
2014/4/5,4.4
2014/4/6,2.6
2014/4/7,22.6
2014/4/8,0.1
2014/4/9,0
2014/4/10,0
2014/4/11,5.8
2014/4/12,6.2
2014/4/13,7.4
2014/4/14,3.4
2014/4/15,6
2014/4/16,23.2
2014/4/17,0
2014/4/18,0
2014/4/19,0
2014/4/20,0
2014/4/21,0
2014/4/22,0
2014/4/23,0
2014/4/24,0
2014/4/25,1.2
2014/4/26,14.2
2014/4/27,1.4
2014/4/28,28
2014/4/29,0
2014/4/30,3.6
2014/5/1,0
2014/5/2,0
2014/5/3,1.4
2014/5/4,4.6
2014/5/5,0
2014/5/6,0
2014/5/7,0
2014/5/8,0
2014/5/9,4.4
2014/5/10,0
2014/5/11,0
2014/5/12,0.6
2014/5/13,24
2014/5/14,0
2014/5/15,0
2014/5/16,0
2014/5/17,0
2014/5/18,0
2014/5/19,0
2014/5/20,0
2014/5/21,0
2014/5/22,0
2014/5/23,0
2014/5/24,0
2014/5/25,0
2014/5/26,0
2014/5/27,0
2014/5/28,0
2014/5/29,0
2014/5/30,0
2014/5/31,5.8
2014/6/1,1.4
2014/6/2,1
2014/6/3,0
2014/6/4,0
2014/6/5,21.8
2014/6/6,35.8
2014/6/7,15
2014/6/8,0
2014/6/9,5
2014/6/10,11.4
2014/6/11,2.2
2014/6/12,0
2014/6/13,0
2014/6/14,7
2014/6/15,0.6
2014/6/16,1
2014/6/17,0
2014/6/18,0
2014/6/19,0
2014/6/20,0
2014/6/21,0
2014/6/22,0
2014/6/23,0
2014/6/24,0
2014/6/25,0
2014/6/26,0
2014/6/27,0
2014/6/28,0
2014/6/29,0
2014/6/30,0
2014/7/1,0
2014/7/2,0
2014/7/3,0
2014/7/4,0
2014/7/5,0
2014/7/6,0
2014/7/7,0
2014/7/8,0
2014/7/9,0
2014/7/10,0.4
2014/7/11,0
2014/7/12,0
2014/7/13,0
2014/7/14,0
2014/7/15,2.4
2014/7/16,2
2014/7/17,0.2
2014/7/18,0
2014/7/19,0
2014/7/20,0.4
2014/7/21,0.2
2014/7/22,0
2014/7/23,0
2014/7/24,0
2014/7/25,0
2014/7/26,4.6
2014/7/27,4.2
2014/7/28,0
2014/7/29,0
2014/7/30,0
2014/7/31,0
2014/8/1,0
2014/8/2,0
2014/8/3,0
2014/8/4,0
2014/8/5,0
2014/8/6,0
2014/8/7,0
2014/8/8,1.6
2014/8/9,3.6
2014/8/10,0
2014/8/11,0.8
2014/8/12,28.8
2014/8/13,12.6
2014/8/14,0
2014/8/15,0
2014/8/16,0
2014/8/17,37
2014/8/18,25.6
2014/8/19,25.6
2014/8/20,6.6
2014/8/21,15.2
2014/8/22,0.8
2014/8/23,5.2
2014/8/24,5
2014/8/25,0
2014/8/26,16.6
2014/8/27,16.6
2014/8/28,22
2014/8/29,4.6
2014/8/30,10.2
2014/8/31,2.2
2014/9/1,0
2014/9/2,0
2014/9/3,10
2014/9/4,0
2014/9/5,5.2
2014/9/6,11.8
2014/9/7,29.2
2014/9/8,1.4
2014/9/9,0
2014/9/10,6.4
2014/9/11,0
2014/9/12,NA
2014/9/13,1
2014/9/14,1.4
2014/9/15,0
2014/9/16,0.6
2014/9/17,0.2
2014/9/18,0
2014/9/19,0
2014/9/20,0
2014/9/21,1.4
2014/9/22,0
2014/9/23,0
2014/9/24,0
2014/9/25,0
2014/9/26,9.6
2014/9/27,0
2014/9/28,0
2014/9/29,0
2014/9/30,0
2014/10/1,0
2014/10/2,0
2014/10/3,0
2014/10/4,0
2014/10/5,0
2014/10/6,0
2014/10/7,0
2014/10/8,3.8
2014/10/9,0.4
2014/10/10,0
2014/10/11,0
2014/10/12,0
2014/10/13,0
2014/10/14,12.4
2014/10/15,76
2014/10/16,1
2014/10/17,0
2014/10/18,0
2014/10/19,0
2014/10/20,0
2014/10/21,0.6
2014/10/22,0
2014/10/23,0
2014/10/24,0
2014/10/25,0.6
2014/10/26,1.4
2014/10/27,0
2014/10/28,0
2014/10/29,0
2014/10/30,0
2014/10/31,0
2014/11/1,0
2014/11/2,6
2014/11/3,0
2014/11/4,0
2014/11/5,0
2014/11/6,9.8
2014/11/7,0
2014/11/8,0
2014/11/9,0
2014/11/10,0
2014/11/11,0
2014/11/12,0
2014/11/13,0
2014/11/14,0
2014/11/15,0
2014/11/16,6
2014/11/17,0.4
2014/11/18,0
2014/11/19,0
2014/11/20,0
2014/11/21,0
2014/11/22,0
2014/11/23,0
2014/11/24,0.1
2014/11/25,6.6
2014/11/26,0
2014/11/27,0.4
2014/11/28,0.1
2014/11/29,0
2014/11/30,0
2014/12/1,2.2
2014/12/2,6.8
2014/12/3,0.6
2014/12/4,19.4
2014/12/5,13.4
2014/12/6,0.8
2014/12/7,3.8
2014/12/8,19.8
2014/12/9,0.2
2014/12/10,0
2014/12/11,12.4
2014/12/12,5.6
2014/12/13,0
2014/12/14,0
2014/12/15,0
2014/12/16,0
2014/12/17,0.4
2014/12/18,0
2014/12/19,0
2014/12/20,0
2014/12/21,0
2014/12/22,0
2014/12/23,0.4
2014/12/24,2.6
2014/12/25,0
2014/12/26,22.4
2014/12/27,0
2014/12/28,0.8
2014/12/29,0
2014/12/30,0.1
2014/12/31,0
2015/1/1,0
2015/1/2,0
2015/1/3,0
2015/1/4,0
2015/1/5,0
2015/1/6,0
2015/1/7,0
2015/1/8,0
2015/1/9,0
2015/1/10,0
2015/1/11,19.8
2015/1/12,6.6
2015/1/13,4
2015/1/14,0.6
2015/1/15,0
2015/1/16,0
2015/1/17,0
2015/1/18,0
2015/1/19,0.4
2015/1/20,21.8
2015/1/21,3.2
2015/1/22,0
2015/1/23,0
2015/1/24,0
2015/1/25,1.4
2015/1/26,2.6
2015/1/27,49.6
2015/1/28,66.6
2015/1/29,15.2
2015/1/30,0
2015/1/31,0
2015/2/1,0
2015/2/2,10.2
2015/2/3,4
2015/2/4,0.2
2015/2/5,13.6
2015/2/6,0
2015/2/7,0
2015/2/8,0
2015/2/9,0.1
2015/2/10,0.4
2015/2/11,0
2015/2/12,0
2015/2/13,6.2
2015/2/14,0.2
2015/2/15,0.6
2015/2/16,0
2015/2/17,0
2015/2/18,0
2015/2/19,0
2015/2/20,0
2015/2/21,9.3
2015/2/22,6.2
2015/2/23,0.2
2015/2/24,0
2015/2/25,0.4
2015/2/26,6.8
2015/2/27,4
2015/2/28,0
2015/3/1,0
2015/3/2,6.8
2015/3/3,0
2015/3/4,0
2015/3/5,0
2015/3/6,0
2015/3/7,0.6
2015/3/8,0
2015/3/9,0
2015/3/10,0
2015/3/11,0
2015/3/12,0.4
2015/3/13,0.6
2015/3/14,5
2015/3/15,0
2015/3/16,6.8
2015/3/17,0
2015/3/18,0
2015/3/19,0.3
2015/3/20,0
2015/3/21,2.8
2015/3/22,0.4
2015/3/23,3
2015/3/24,0
2015/3/25,23
2015/3/26,0
2015/3/27,0
2015/3/28,0
2015/3/29,0
2015/3/30,0
2015/3/31,17
2015/4/1,8
2015/4/2,0
2015/4/3,0.8
2015/4/4,23
2015/4/5,22
2015/4/6,0
2015/4/7,0.8
2015/4/8,2.4
2015/4/9,0
2015/4/10,0.6
2015/4/11,14
2015/4/12,0
2015/4/13,0.2
2015/4/14,0
2015/4/15,0
2015/4/16,0.4
2015/4/17,1.8
2015/4/18,1
2015/4/19,2.2
2015/4/20,13
2015/4/21,114.6
2015/4/22,105
2015/4/23,32.6
2015/4/24,0.2
2015/4/25,0
2015/4/26,32.6
2015/4/27,7
2015/4/28,0
2015/4/29,0
2015/4/30,18.4
2015/5/1,34.6
2015/5/2,12.2
2015/5/3,34.6
2015/5/4,1.2
2015/5/5,0.1
2015/5/6,0
2015/5/7,0
2015/5/8,0
2015/5/9,0
2015/5/10,0
2015/5/11,0
2015/5/12,0
2015/5/13,0
2015/5/14,0.8
2015/5/15,0
2015/5/16,1
2015/5/17,0.6
2015/5/18,0
2015/5/19,0.4
2015/5/20,1.8
2015/5/21,0
2015/5/22,10.4
2015/5/23,20.6
2015/5/24,0
2015/5/25,0
2015/5/26,0
2015/5/27,0
2015/5/28,0
2015/5/29,0.6
2015/5/30,0
2015/5/31,0
2015/6/1,0
2015/6/2,0
2015/6/3,0
2015/6/4,0
2015/6/5,0
2015/6/6,3.8
2015/6/7,0
2015/6/8,0
2015/6/9,0
2015/6/10,4.2
2015/6/11,4.4
2015/6/12,1.6
2015/6/13,0
2015/6/14,0
2015/6/15,0.2
2015/6/16,9.6
2015/6/17,10.4
2015/6/18,2.2
2015/6/19,77.2
2015/6/20,13.6
2015/6/21,2
2015/6/22,4.4
2015/6/23,0
2015/6/24,0
2015/6/25,0
2015/6/26,1
2015/6/27,0
2015/6/28,0
2015/6/29,0
2015/6/30,0
2015/7/1,1.4
2015/7/2,0
2015/7/3,0
2015/7/4,0
2015/7/5,0
2015/7/6,0
2015/7/7,0
2015/7/8,14.6
2015/7/9,0.8
2015/7/10,0
2015/7/11,0.6
2015/7/12,2.2
2015/7/13,4.2
2015/7/14,0.8
2015/7/15,0
2015/7/16,1.8
2015/7/17,19
2015/7/18,11
2015/7/19,3.4
2015/7/20,1
2015/7/21,4.8
2015/7/22,0
2015/7/23,1.4
2015/7/24,0
2015/7/25,0.1
2015/7/26,0
2015/7/27,0
2015/7/28,0
2015/7/29,0
2015/7/30,0
2015/7/31,0
2015/8/1,0
2015/8/2,0
2015/8/3,0
2015/8/4,0.2
2015/8/5,0
2015/8/6,0
2015/8/7,0
2015/8/8,0
2015/8/9,0
2015/8/10,0
2015/8/11,0
2015/8/12,0
2015/8/13,0
2015/8/14,0
2015/8/15,0
2015/8/16,0.4
2015/8/17,2
2015/8/18,0
2015/8/19,0
2015/8/20,0
2015/8/21,0
2015/8/22,0
2015/8/23,3.4
2015/8/24,5.8
2015/8/25,62.2
2015/8/26,3.8
2015/8/27,0.1
2015/8/28,0
2015/8/29,0
2015/8/30,0
2015/8/31,0
2015/9/1,0
2015/9/2,0
2015/9/3,2.8
2015/9/4,28.8
2015/9/5,0
2015/9/6,2.6
2015/9/7,1.6
2015/9/8,0
2015/9/9,0
2015/9/10,4.2
2015/9/11,0
2015/9/12,0
2015/9/13,0
2015/9/14,0
2015/9/15,0
2015/9/16,0
2015/9/17,0
2015/9/18,3.8
2015/9/19,16
2015/9/20,0
2015/9/21,0.6
2015/9/22,0
2015/9/23,2.8
2015/9/24,6
2015/9/25,36.8
2015/9/26,7.6
2015/9/27,8
2015/9/28,1
2015/9/29,0
2015/9/30,0
2015/10/1,0
2015/10/2,0
2015/10/3,0
2015/10/4,0
2015/10/5,0
2015/10/6,0
2015/10/7,0
2015/10/8,0
2015/10/9,0.2
2015/10/10,0
2015/10/11,0
2015/10/12,3.8
2015/10/13,4.4
2015/10/14,4.2
2015/10/15,0
2015/10/16,0
2015/10/17,0
2015/10/18,1.8
2015/10/19,0
2015/10/20,0
2015/10/21,1.2
2015/10/22,3.4
2015/10/23,7.8
2015/10/24,0
2015/10/25,0
2015/10/26,0
2015/10/27,5.4
2015/10/28,2.6
2015/10/29,0
2015/10/30,0
2015/10/31,0
2015/11/1,0
2015/11/2,14.2
2015/11/3,0.6
2015/11/4,4
2015/11/5,15.6
2015/11/6,13.4
2015/11/7,9.8
2015/11/8,0.8
2015/11/9,0
2015/11/10,0
2015/11/11,0.4
2015/11/12,5
2015/11/13,0.8
2015/11/14,18.2
2015/11/15,39.8
2015/11/16,2.6
2015/11/17,0
2015/11/18,0
2015/11/19,0
2015/11/20,0
2015/11/21,0
2015/11/22,0
2015/11/23,0
2015/11/24,0
2015/11/25,0
2015/11/26,0
2015/11/27,0.4
2015/11/28,0
2015/11/29,0.6
2015/11/30,0
2015/12/1,0
2015/12/2,0
2015/12/3,0
2015/12/4,0
2015/12/5,0
2015/12/6,0
2015/12/7,0
2015/12/8,0
2015/12/9,1.6
2015/12/10,5.8
2015/12/11,0.2
2015/12/12,0
2015/12/13,0
2015/12/14,0
2015/12/15,0
2015/12/16,1.4
2015/12/17,58
2015/12/18,0
2015/12/19,0
2015/12/20,0
2015/12/21,0
2015/12/22,30
2015/12/23,31.8
2015/12/24,0.4
2015/12/25,0
2015/12/26,1
2015/12/27,1.8
2015/12/28,4
2015/12/29,0
2015/12/30,0
2015/12/31,0
2016/1/1,0
2016/1/2,0
2016/1/3,0
2016/1/4,17.6
2016/1/5,39.8
2016/1/6,50
2016/1/7,48.6
2016/1/8,1.2
2016/1/9,0
2016/1/10,0
2016/1/11,0
2016/1/12,0
2016/1/13,0
2016/1/14,0
2016/1/15,29.8
2016/1/16,9.6
2016/1/17,0
2016/1/18,0
2016/1/19,0
2016/1/20,0
2016/1/21,0
2016/1/22,32.8
2016/1/23,12.8
2016/1/24,1.8
2016/1/25,0
2016/1/26,7.8
2016/1/27,3.6
2016/1/28,0.4
2016/1/29,0.1
2016/1/30,8.6
2016/1/31,13.4
2016/2/1,0
2016/2/2,1.4
2016/2/3,0
2016/2/4,12
2016/2/5,4.8
2016/2/6,1.2
2016/2/7,0
2016/2/8,0
2016/2/9,0
2016/2/10,0
2016/2/11,0
2016/2/12,0
2016/2/13,0
2016/2/14,0
2016/2/15,0
2016/2/16,0
2016/2/17,0
2016/2/18,0
2016/2/19,0
2016/2/20,0
2016/2/21,46.2
2016/2/22,12.8
2016/2/23,0
2016/2/24,0
2016/2/25,0
2016/2/26,0
2016/2/27,0
2016/2/28,0
2016/2/29,0
2016/3/1,0.6
2016/3/2,0
2016/3/3,0
2016/3/4,0
2016/3/5,0
2016/3/6,0
2016/3/7,0
2016/3/8,0
2016/3/9,0
2016/3/10,0
2016/3/11,0
2016/3/12,0
2016/3/13,0
2016/3/14,0
2016/3/15,24.8
2016/3/16,20.6
2016/3/17,7.4
2016/3/18,0.1
2016/3/19,1.8
2016/3/20,0.6
2016/3/21,95.4
2016/3/22,41
2016/3/23,11
2016/3/24,0
2016/3/25,0
2016/3/26,0.2
2016/3/27,0
2016/3/28,21.2
2016/3/29,0
2016/3/30,3.6
2016/3/31,0
2016/4/1,0
2016/4/2,0
2016/4/3,6
2016/4/4,27.8
2016/4/5,1.6
2016/4/6,0
2016/4/7,0
2016/4/8,0
2016/4/9,0.4
2016/4/10,0
2016/4/11,0
2016/4/12,5
2016/4/13,1.6
2016/4/14,0.8
2016/4/15,0.4
2016/4/16,0
2016/4/17,0
2016/4/18,5
2016/4/19,7.4
2016/4/20,2.6
2016/4/21,0.2
2016/4/22,0
2016/4/23,4.2
2016/4/24,5.8
2016/4/25,0
2016/4/26,0
2016/4/27,0
2016/4/28,0
2016/4/29,0
2016/4/30,0.2
2016/5/1,3.2
2016/5/2,0
2016/5/3,0
2016/5/4,0
2016/5/5,0
2016/5/6,0
2016/5/7,0
2016/5/8,0.2
2016/5/9,2.2
2016/5/10,0.2
2016/5/11,0
2016/5/12,0
2016/5/13,0
2016/5/14,0
2016/5/15,0
2016/5/16,0
2016/5/17,0
2016/5/18,0
2016/5/19,0
2016/5/20,0
2016/5/21,0
2016/5/22,0
2016/5/23,0
2016/5/24,0
2016/5/25,0
2016/5/26,0.4
2016/5/27,0.2
2016/5/28,0
2016/5/29,4.6
2016/5/30,0
2016/5/31,0.8
2016/6/1,16.6
2016/6/2,0.4
2016/6/3,4.8
2016/6/4,74.8
2016/6/5,102
2016/6/6,61
2016/6/7,0.1
2016/6/8,0
2016/6/9,1
2016/6/10,0.1
2016/6/11,0
2016/6/12,0
2016/6/13,0
2016/6/14,0
2016/6/15,0
2016/6/16,0
2016/6/17,0
2016/6/18,7
2016/6/19,1
2016/6/20,28.2
2016/6/21,0
2016/6/22,0
2016/6/23,0
2016/6/24,0
2016/6/25,0.2
2016/6/26,0
2016/6/27,0
2016/6/28,4.4
2016/6/29,0
2016/6/30,0
2016/7/1,0
2016/7/2,0
2016/7/3,0
2016/7/4,0
2016/7/5,4.8
2016/7/6,0.2
2016/7/7,33.6
2016/7/8,13.8
2016/7/9,4.4
2016/7/10,2.4
2016/7/11,0
2016/7/12,0.1
2016/7/13,0
2016/7/14,0
2016/7/15,0
2016/7/16,0
2016/7/17,0.8
2016/7/18,0.2
2016/7/19,0
2016/7/20,13.6
2016/7/21,24.8
2016/7/22,0.2
2016/7/23,6.8
2016/7/24,0
2016/7/25,0
2016/7/26,0
2016/7/27,0
2016/7/28,0
2016/7/29,0
2016/7/30,0
2016/7/31,0
2016/8/1,0
2016/8/2,1
2016/8/3,22.6
2016/8/4,38.8
2016/8/5,5.2
2016/8/6,6
2016/8/7,6.4
2016/8/8,0
2016/8/9,0
2016/8/10,0
2016/8/11,0
2016/8/12,0
2016/8/13,0
2016/8/14,0
2016/8/15,0
2016/8/16,0
2016/8/17,0
2016/8/18,0
2016/8/19,0
2016/8/20,0.6
2016/8/21,0
2016/8/22,0
2016/8/23,2.8
2016/8/24,5
2016/8/25,56.2
2016/8/26,0
2016/8/27,3.6
2016/8/28,0
2016/8/29,0
2016/8/30,0
2016/8/31,0
2016/9/1,0
2016/9/2,15.4
2016/9/3,27.8
2016/9/4,0
2016/9/5,0
2016/9/6,0
2016/9/7,0
2016/9/8,0
2016/9/9,0
2016/9/10,2
2016/9/11,0
2016/9/12,0
2016/9/13,0
2016/9/14,7
2016/9/15,0
2016/9/16,0.2
2016/9/17,0
2016/9/18,0
2016/9/19,16.8
2016/9/20,0
2016/9/21,0
2016/9/22,2
2016/9/23,3
2016/9/24,0
2016/9/25,4.8
2016/9/26,4.8
2016/9/27,0
2016/9/28,0
2016/9/29,1
2016/9/30,2
2016/10/1,0
2016/10/2,0
2016/10/3,0
2016/10/4,0
2016/10/5,0
2016/10/6,0
2016/10/7,0
2016/10/8,0
2016/10/9,0
2016/10/10,0
2016/10/11,4
2016/10/12,0
2016/10/13,3.6
2016/10/14,0.6
2016/10/15,0
2016/10/16,0
2016/10/17,0
2016/10/18,3.8
2016/10/19,0
2016/10/20,0
2016/10/21,0
2016/10/22,19.8
2016/10/23,0.6
2016/10/24,1.2
2016/10/25,0
2016/10/26,0
2016/10/27,0
2016/10/28,2
2016/10/29,4.4
2016/10/30,0
2016/10/31,1.4
2016/11/1,0
2016/11/2,0
2016/11/3,0
2016/11/4,0
2016/11/5,0
2016/11/6,0
2016/11/7,0
2016/11/8,0
2016/11/9,3.4
2016/11/10,11.4
2016/11/11,0
2016/11/12,10.6
2016/11/13,0
2016/11/14,0
2016/11/15,0.6
2016/11/16,0
2016/11/17,0
2016/11/18,0
2016/11/19,0
2016/11/20,0
2016/11/21,0
2016/11/22,0
2016/11/23,0
2016/11/24,2.8
2016/11/25,0
2016/11/26,0
2016/11/27,0
2016/11/28,0
2016/11/29,0
2016/11/30,0
2016/12/1,0
2016/12/2,0.4
2016/12/3,0
2016/12/4,0
2016/12/5,1.4
2016/12/6,3.2
2016/12/7,5.8
2016/12/8,0
2016/12/9,1.2
2016/12/10,0
2016/12/11,0
2016/12/12,0
2016/12/13,0
2016/12/14,0
2016/12/15,7.2
2016/12/16,32.2
2016/12/17,8.8
2016/12/18,0.6
2016/12/19,0.2
